,Export(MW)
2019-02-03 11,20937.919166666663
2019-02-03 12,20885.71416666666
2019-02-03 13,22680.47333333333
2019-02-03 14,21136.284999999996
2019-02-03 15,20946.550833333335
2019-02-03 16,20085.466666666667
2019-02-03 17,20703.79333333334
2019-02-03 18,21445.66333333333
2019-02-03 19,21218.815
2019-02-03 20,21616.07333333333
2019-02-03 21,20455.149166666666
2019-02-03 22,19460.34833333333
2019-02-03 23,18333.2975
2019-02-04 00,18863.590833333332
2019-02-04 01,19189.896666666667
2019-02-04 02,18739.364999999998
2019-02-04 03,19311.50416666667
2019-02-04 04,20571.484166666665
2019-02-04 05,20596.436666666665
2019-02-04 06,22321.693333333333
2019-02-04 07,22624.710833333334
2019-02-04 08,22933.811666666665
2019-02-04 09,23355.559999999998
2019-02-04 10,24325.885833333334
2019-02-04 11,23821.061666666665
2019-02-04 12,24258.047499999997
2019-02-04 13,24267.391666666663
2019-02-04 14,24573.278333333325
2019-02-04 15,24132.003333333338
2019-02-04 16,23353.000833333335
2019-02-04 17,24158.522500000003
2019-02-04 18,25495.87916666667
2019-02-04 19,24267.457500000004
2019-02-04 20,23910.1775
2019-02-04 21,22810.44916666667
2019-02-04 22,21817.070833333335
2019-02-04 23,20630.7075
2019-02-05 00,23662.308333333334
2019-02-05 01,23749.914166666666
2019-02-05 02,23167.514166666664
2019-02-05 03,23117.745000000006
