name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
443_G_2,Hydro,39,0,0.023999946,0,39,0,0,14130,9999,
443_G_3,Hydro,39,0,0.048157373,0,39,0,0,14130,9999,
444_G_1,Hydro,8.3,0,0.043441504,0,8.3,0,0,14130,9999,
444_G_2,Hydro,8.3,0,0.044199172,0,8.3,0,0,14130,9999,
445_G_1,Hydro,142,0,0.031737345,0,142,0,0,14130,9999,
445_G_2,Hydro,142,0,0.01356684,0,142,0,0,14130,9999,
445_G_3,Hydro,142,0,0.014445449,0,142,0,0,14130,9999,
445_G_4,Hydro,142,0,0.021987847,0,142,0,0,14130,9999,
445_G_5,Hydro,142,0,0.04361424,0,142,0,0,14130,9999,
445_G_S1,Hydro,2,0,0.039232784,0,2,0,0,14130,9999,
445_G_S2,Hydro,2,0,0.046498524,0,2,0,0,14130,9999,
447_G_1,Hydro,30,0,0.046751236,0,30,0,0,14130,9999,
447_G_2,Hydro,30,0,0.036486599,0,30,0,0,14130,9999,
447_G_3,Hydro,30,0,0.03973238,0,30,0,0,14130,9999,
447_G_4,Hydro,30,0,0.043929726,0,30,0,0,14130,9999,
450_G_1,Hydro,90,0,0.013976977,0,90,0,0,14130,9999,
450_G_2,Hydro,90,0,0.004233163,0,90,0,0,14130,9999,
451_G_1,Hydro,70,0,0.025189629,0,70,0,0,14130,9999,
451_G_2,Hydro,70,0,0.016843502,0,70,0,0,14130,9999,
454_G_1,Hydro,157.5,0,0.041186615,0,157.5,0,0,14130,9999,
454_G_2,Hydro,157.5,0,0.040472043,0,157.5,0,0,14130,9999,
455_G_1,Hydro,46.7,0,0.008522766,0,46.7,0,0,14130,9999,
457_G_HC1,Hydro,0.7,0,0.015227807,0,0.7,0,0,14130,9999,
457_G_HC2,Hydro,0.7,0,0.021961165,0,0.7,0,0,14130,9999,
479_G_1,Hydro,2.8,0,0.001751163,0,2.8,0,0,14130,9999,
480_G_1,Hydro,2.8,0,0.028750773,0,2.8,0,0,14130,9999,
481_G_1,Hydro,7.9,0,0.009104989,0,7.9,0,0,14130,9999,
482_G_1,Hydro,1.9,0,0.024785394,0,1.9,0,0,14130,9999,
483_G_1,Hydro,3.1,0,0.021478301,0,3.1,0,0,14130,9999,
484_G_1,Hydro,5.9,0,0.021251892,0,5.9,0,0,14130,9999,
